feature,is_team_stat,mean_importance,mean_rank,min_rank,max_rank
away_avg_halftime_lead_5,False,0.20118057580831966,172.0,70,240
penalty_diff_diff,False,0.19752608353066148,178.625,77,253
home_ts_tries_average,True,0.19600178868341894,174.375,97,256
home_win_rate_3,False,0.19524876973588765,179.875,79,263
away_pa_std_5,False,0.19437847516498039,177.875,77,217
home_ts_offloads_average,True,0.19321056976487255,175.875,111,256
away_avg_margin_3,False,0.19299074447629064,174.875,99,233
win_rate_diff_8,False,0.1907885716036415,184.5,56,255
away_away_win_pct,False,0.1896540551236998,181.375,79,244
ts_diff_tries_average,True,0.18954791693829423,179.0,114,260
avg_margin_diff_5,False,0.189135497232333,184.125,40,265
home_ts_decoy_runs_average,True,0.18662901689206943,182.5,117,254
elo_x_rest,False,0.18597738498570715,182.25,103,217
away_win_rate_3,False,0.18594975490777266,175.75,86,268
home_ts_handling_errors_average,True,0.18382192191896654,183.5,151,231
ts_diff_intercepts_average,True,0.1821598228262027,182.125,150,231
spread_movement_abs,False,0.18188365533788428,182.25,77,256
away_ts_intercepts_average,True,0.1809780252253848,188.625,116,253
away_ts_penalties_conceded_average,True,0.1737471864131664,188.25,130,247
away_close_game_rate_8,False,0.17328129607688367,190.0,152,233
win_rate_diff_5,False,0.17318783035158342,190.125,109,257
form_momentum_diff,False,0.17142174742913238,191.5,53,254
ts_diff_all_receipts_average,True,0.1708046403807218,193.375,153,238
away_days_rest,False,0.16986025413660635,191.25,102,258
elo_diff_x_early,False,0.16968882875496627,194.0,90,243
bookmakers_surveyed,False,0.16691431352652383,192.875,99,267
home_away_split_diff,False,0.16138899395167708,190.625,114,250
home_points_diff_season,False,0.15813928292188426,197.125,133,254
away_win_rate_8,False,0.15652207815481042,200.5,89,261
streak_diff,False,0.153450238602612,192.375,98,256
win_rate_diff_3,False,0.15098499715965708,200.875,129,259
away_avg_pf_5,False,0.15001028000630887,201.5,164,261
ts_diff_line_breaks_average,True,0.14727899184730703,199.75,139,260
home_ts_intercepts_average,True,0.14566220008663966,200.5,114,274
away_streak,False,0.14437187978631966,204.375,117,262
rest_diff,False,0.143642134122303,202.125,145,259
ts_diff_possession_pct_average,True,0.1420551836991161,206.625,162,240
ts_diff_errors_average,True,0.13472706636083645,210.125,122,250
home_avg_penalty_diff_5,False,0.13260533454532655,212.125,138,246
home_is_back_to_back,False,0.13215472529655048,209.625,80,263
is_neutral_venue,False,0.12944214757670383,202.125,63,267
home_days_rest,False,0.12884819832816224,216.75,77,261
away_ts_try_assists_average,True,0.1211351841339685,214.375,153,263
elo_diff_x_late,False,0.11868860317950754,217.25,138,253
home_away_win_pct,False,0.11530388238773151,220.375,193,259
away_form_momentum_3v5,False,0.11499472417159155,218.375,84,269
home_streak,False,0.1108327786957223,220.25,158,262
h2h_matches_5,False,0.10969497998455228,220.0,174,261
home_ts_try_assists_average,True,0.10963616217935038,224.0,105,275
away_win_rate_5,False,0.10890085767154703,219.625,145,265
away_ts_tries_average,True,0.1072559068612494,223.625,169,275
is_mid_season,False,0.1062735460514529,225.875,161,274
home_win_rate_5,False,0.08825600277206674,234.25,171,263
is_early_season,False,0.08063174814022522,238.75,170,272
is_afternoon_game,False,0.07888454506859612,235.25,198,273
away_avg_pa_5,False,0.0743602693081399,242.125,220,265
away_close_game_rate_5,False,0.07059423030186862,244.375,205,264
total_movement_abs,False,0.06246177592795074,246.125,223,270
attendance_high,False,0.05288313696061465,247.75,203,273
h2h_matches_3,False,0.052056827236488745,250.0,219,267
home_last_result,False,0.05132374247390482,251.875,245,265
form_x_late,False,0.04889962021178505,249.875,178,274
is_night_game,False,0.04537356333943726,254.0,226,272
away_is_back_to_back,False,0.04435234823298958,250.25,196,264
odds_spread_agree,False,0.04394202687602943,255.125,230,271
away_bye_last_round,False,0.03804675376922457,251.75,221,269
elo_spread_agree,False,0.03785321008911894,257.25,229,275
is_finals,False,0.03715126068037626,256.0,233,271
home_bye_last_round,False,0.023146552459761955,259.75,239,267
is_late_season,False,0.02313532539194661,263.875,246,275
away_last_result,False,0.019149989812329328,261.5,219,271
is_day_game,False,0.0,272.25,269,274
ladder_x_finals,False,0.0,270.125,267,272
is_home,False,0.0,267.0,264,270
