year,strategy,blend_weight,accuracy,n_games,correct,model_only_acc
2019,E: TeamStats only,0.28,0.6377551020408163,196,125,0.5612244897959183
2019,E: TeamStats only,0.35,0.6224489795918368,196,122,0.5612244897959183
2019,E: TeamStats only,0.45,0.6122448979591837,196,120,0.5612244897959183
2019,E: TeamStats only,0.55,0.5867346938775511,196,115,0.5612244897959183
2019,E: TeamStats only,0.65,0.5867346938775511,196,115,0.5612244897959183
2020,A: Baseline top50,0.0,0.7378048780487805,164,121,0.7134146341463414
2020,A: Baseline top50,0.1,0.7378048780487805,164,121,0.7134146341463414
2020,A: Baseline top50,0.2,0.7317073170731707,164,120,0.7134146341463414
2020,A: Baseline top50,0.28,0.725609756097561,164,119,0.7134146341463414
2020,A: Baseline top50,0.35,0.7195121951219512,164,118,0.7134146341463414
2020,A: Baseline top50,0.45,0.7195121951219512,164,118,0.7134146341463414
2020,A: Baseline top50,0.55,0.7134146341463414,164,117,0.7134146341463414
2020,A: Baseline top50,0.65,0.7134146341463414,164,117,0.7134146341463414
2020,B: +TeamStats top50,0.0,0.7378048780487805,164,121,0.6890243902439024
2020,B: +TeamStats top50,0.1,0.7378048780487805,164,121,0.6890243902439024
2020,B: +TeamStats top50,0.2,0.7378048780487805,164,121,0.6890243902439024
2020,B: +TeamStats top50,0.28,0.7378048780487805,164,121,0.6890243902439024
2020,B: +TeamStats top50,0.35,0.7378048780487805,164,121,0.6890243902439024
2020,B: +TeamStats top50,0.45,0.725609756097561,164,119,0.6890243902439024
2020,B: +TeamStats top50,0.55,0.7195121951219512,164,118,0.6890243902439024
2020,B: +TeamStats top50,0.65,0.7134146341463414,164,117,0.6890243902439024
2020,C: Hybrid 35+15,0.0,0.7378048780487805,164,121,0.6890243902439024
2020,C: Hybrid 35+15,0.1,0.7317073170731707,164,120,0.6890243902439024
2020,C: Hybrid 35+15,0.2,0.725609756097561,164,119,0.6890243902439024
2020,C: Hybrid 35+15,0.28,0.725609756097561,164,119,0.6890243902439024
2020,C: Hybrid 35+15,0.35,0.725609756097561,164,119,0.6890243902439024
2020,C: Hybrid 35+15,0.45,0.7195121951219512,164,118,0.6890243902439024
2020,C: Hybrid 35+15,0.55,0.7195121951219512,164,118,0.6890243902439024
2020,C: Hybrid 35+15,0.65,0.7134146341463414,164,117,0.6890243902439024
2020,D: +TeamStats top60,0.0,0.7378048780487805,164,121,0.7012195121951219
2020,D: +TeamStats top60,0.1,0.725609756097561,164,119,0.7012195121951219
2020,D: +TeamStats top60,0.2,0.725609756097561,164,119,0.7012195121951219
2020,D: +TeamStats top60,0.28,0.7317073170731707,164,120,0.7012195121951219
2020,D: +TeamStats top60,0.35,0.7317073170731707,164,120,0.7012195121951219
2020,D: +TeamStats top60,0.45,0.725609756097561,164,119,0.7012195121951219
2020,D: +TeamStats top60,0.55,0.7134146341463414,164,117,0.7012195121951219
2020,D: +TeamStats top60,0.65,0.7195121951219512,164,118,0.7012195121951219
2020,E: TeamStats only,0.0,0.7378048780487805,164,121,0.5792682926829268
2020,E: TeamStats only,0.1,0.7378048780487805,164,121,0.5792682926829268
2020,E: TeamStats only,0.2,0.7134146341463414,164,117,0.5792682926829268
2020,E: TeamStats only,0.28,0.7073170731707317,164,116,0.5792682926829268
2020,E: TeamStats only,0.35,0.7012195121951219,164,115,0.5792682926829268
2020,E: TeamStats only,0.45,0.6829268292682927,164,112,0.5792682926829268
2020,E: TeamStats only,0.55,0.7134146341463414,164,117,0.5792682926829268
2020,E: TeamStats only,0.65,0.6829268292682927,164,112,0.5792682926829268
2021,A: Baseline top50,0.0,0.7563451776649747,197,149,0.7715736040609137
2021,A: Baseline top50,0.1,0.7563451776649747,197,149,0.7715736040609137
2021,A: Baseline top50,0.2,0.7563451776649747,197,149,0.7715736040609137
2021,A: Baseline top50,0.28,0.7563451776649747,197,149,0.7715736040609137
2021,A: Baseline top50,0.35,0.7614213197969543,197,150,0.7715736040609137
2021,A: Baseline top50,0.45,0.7614213197969543,197,150,0.7715736040609137
2021,A: Baseline top50,0.55,0.7614213197969543,197,150,0.7715736040609137
2021,A: Baseline top50,0.65,0.7715736040609137,197,152,0.7715736040609137
2021,B: +TeamStats top50,0.0,0.7563451776649747,197,149,0.766497461928934
2021,B: +TeamStats top50,0.1,0.7614213197969543,197,150,0.766497461928934
2021,B: +TeamStats top50,0.2,0.7715736040609137,197,152,0.766497461928934
2021,B: +TeamStats top50,0.28,0.7766497461928934,197,153,0.766497461928934
2021,B: +TeamStats top50,0.35,0.7766497461928934,197,153,0.766497461928934
2021,B: +TeamStats top50,0.45,0.7817258883248731,197,154,0.766497461928934
2021,B: +TeamStats top50,0.55,0.7817258883248731,197,154,0.766497461928934
2021,B: +TeamStats top50,0.65,0.7817258883248731,197,154,0.766497461928934
2021,C: Hybrid 35+15,0.0,0.7563451776649747,197,149,0.7614213197969543
2021,C: Hybrid 35+15,0.1,0.7614213197969543,197,150,0.7614213197969543
2021,C: Hybrid 35+15,0.2,0.766497461928934,197,151,0.7614213197969543
2021,C: Hybrid 35+15,0.28,0.766497461928934,197,151,0.7614213197969543
2021,C: Hybrid 35+15,0.35,0.7715736040609137,197,152,0.7614213197969543
2021,C: Hybrid 35+15,0.45,0.7715736040609137,197,152,0.7614213197969543
2021,C: Hybrid 35+15,0.55,0.7715736040609137,197,152,0.7614213197969543
2021,C: Hybrid 35+15,0.65,0.7715736040609137,197,152,0.7614213197969543
2021,D: +TeamStats top60,0.0,0.7563451776649747,197,149,0.7817258883248731
2021,D: +TeamStats top60,0.1,0.7614213197969543,197,150,0.7817258883248731
2021,D: +TeamStats top60,0.2,0.7715736040609137,197,152,0.7817258883248731
2021,D: +TeamStats top60,0.28,0.7766497461928934,197,153,0.7817258883248731
2021,D: +TeamStats top60,0.35,0.7766497461928934,197,153,0.7817258883248731
2021,D: +TeamStats top60,0.45,0.7817258883248731,197,154,0.7817258883248731
2021,D: +TeamStats top60,0.55,0.7766497461928934,197,153,0.7817258883248731
2021,D: +TeamStats top60,0.65,0.7766497461928934,197,153,0.7817258883248731
2021,E: TeamStats only,0.0,0.7563451776649747,197,149,0.6751269035532995
2021,E: TeamStats only,0.1,0.7614213197969543,197,150,0.6751269035532995
2021,E: TeamStats only,0.2,0.7766497461928934,197,153,0.6751269035532995
2021,E: TeamStats only,0.28,0.7817258883248731,197,154,0.6751269035532995
2021,E: TeamStats only,0.35,0.7918781725888325,197,156,0.6751269035532995
2021,E: TeamStats only,0.45,0.7817258883248731,197,154,0.6751269035532995
2021,E: TeamStats only,0.55,0.751269035532995,197,148,0.6751269035532995
2021,E: TeamStats only,0.65,0.7411167512690355,197,146,0.6751269035532995
2022,A: Baseline top50,0.0,0.7258883248730964,197,143,0.7360406091370558
2022,A: Baseline top50,0.1,0.7309644670050761,197,144,0.7360406091370558
2022,A: Baseline top50,0.2,0.7309644670050761,197,144,0.7360406091370558
2022,A: Baseline top50,0.28,0.7258883248730964,197,143,0.7360406091370558
2022,A: Baseline top50,0.35,0.7258883248730964,197,143,0.7360406091370558
2022,A: Baseline top50,0.45,0.7258883248730964,197,143,0.7360406091370558
2022,A: Baseline top50,0.55,0.7309644670050761,197,144,0.7360406091370558
2022,A: Baseline top50,0.65,0.7360406091370558,197,145,0.7360406091370558
2022,B: +TeamStats top50,0.0,0.7258883248730964,197,143,0.751269035532995
2022,B: +TeamStats top50,0.1,0.7360406091370558,197,145,0.751269035532995
2022,B: +TeamStats top50,0.2,0.7360406091370558,197,145,0.751269035532995
2022,B: +TeamStats top50,0.28,0.7360406091370558,197,145,0.751269035532995
2022,B: +TeamStats top50,0.35,0.7309644670050761,197,144,0.751269035532995
2022,B: +TeamStats top50,0.45,0.7461928934010152,197,147,0.751269035532995
2022,B: +TeamStats top50,0.55,0.7411167512690355,197,146,0.751269035532995
2022,B: +TeamStats top50,0.65,0.751269035532995,197,148,0.751269035532995
2022,C: Hybrid 35+15,0.0,0.7258883248730964,197,143,0.7360406091370558
2022,C: Hybrid 35+15,0.1,0.7360406091370558,197,145,0.7360406091370558
2022,C: Hybrid 35+15,0.2,0.7360406091370558,197,145,0.7360406091370558
2022,C: Hybrid 35+15,0.28,0.7360406091370558,197,145,0.7360406091370558
2022,C: Hybrid 35+15,0.35,0.7309644670050761,197,144,0.7360406091370558
2022,C: Hybrid 35+15,0.45,0.7258883248730964,197,143,0.7360406091370558
2022,C: Hybrid 35+15,0.55,0.7258883248730964,197,143,0.7360406091370558
2022,C: Hybrid 35+15,0.65,0.7461928934010152,197,147,0.7360406091370558
